id,hidden_layers,architecture,activation,batch_size,solver,learning_rate_init,learning_rate,iterations,train_score,val_score,test_score
0,1,180,tanh,auto,adam,0.001,constant,177,4.206607207766394,4.213662180790718,5.065603646586928
id,hidden_layers,architecture,activation,batch_size,solver,learning_rate_init,learning_rate,iterations,train_score,val_score,test_score
0,1,180,tanh,auto,adam,0.001,constant,177,4.206607207766394,4.213662180790718,5.065603646586928
id,hidden_layers,architecture,activation,batch_size,solver,learning_rate_init,learning_rate,iterations,train_score,val_score,test_score
0,1,200,tanh,auto,adam,0.001,constant,200,4.180002304891591,4.187001051044143,5.075447221346296
id,hidden_layers,architecture,activation,batch_size,solver,learning_rate_init,learning_rate,iterations,train_score,val_score,test_score
0,2,"(100, 100)",tanh,auto,adam,0.001,constant,126,4.087059109930235,4.269639940889767,5.094968515651059
id,hidden_layers,architecture,activation,batch_size,solver,learning_rate_init,learning_rate,iterations,train_score,val_score,test_score
0,2,"(100, 200)",tanh,auto,adam,0.001,constant,111,4.096359749262415,4.219984656308147,5.076986035360877
id,hidden_layers,architecture,activation,batch_size,solver,learning_rate_init,learning_rate,iterations,train_score,val_score,test_score
0,3,"(50, 100, 200)",tanh,auto,adam,0.001,constant,167,3.9091888289562418,4.4513435203209335,4.9083961958720055
id,hidden_layers,architecture,activation,batch_size,solver,learning_rate_init,learning_rate,iterations,train_score,val_score,test_score
0,4,"(50, 100, 200, 100)",tanh,auto,adam,0.001,constant,200,3.3321750335388556,4.519454194713965,5.04662613061333
id,hidden_layers,architecture,activation,batch_size,solver,learning_rate_init,learning_rate,iterations,train_score,val_score,test_score
0,3,"(50, 100, 200)",relu,auto,adam,0.001,constant,200,3.219059221854926,4.746696750588024,5.244551252769503
id,hidden_layers,architecture,activation,batch_size,solver,learning_rate_init,learning_rate,iterations,train_score,val_score,test_score
0,3,"(50, 100, 200)",logistic,auto,adam,0.001,constant,200,4.222995478367062,4.454517839066719,4.987628201249962
id,hidden_layers,architecture,activation,batch_size,solver,learning_rate_init,learning_rate,iterations,train_score,val_score,test_score
0,3,"(50, 100, 200)",tanh,auto,adam,0.001,constant,167,3.9091888289562418,4.4513435203209335,4.9083961958720055
